Well Position,Temperature,Derivative
A6,25,373.251
A6,25.193,381.322
A6,25.385,386.812
A6,25.578,382.095
A6,25.77,363.754
A6,25.963,334.865
A6,26.156,303.085
A6,26.348,276.242
A6,26.541,258.896
A6,26.733,251.62
A6,26.926,252.498
A6,27.119,258.391
A6,27.311,264.809
A6,27.504,265.469
A6,27.696,253.18
A6,27.889,223.133
A6,28.082,176.75
A6,28.274,123.567
A6,28.467,78.554
A6,28.66,55.488
A6,28.852,59.718
A6,29.045,84.427
A6,29.237,112.978
A6,29.43,125.979
A6,29.623,109.618
A6,29.815,61.259
A6,30.008,-9.895
A6,30.2,-87.049
A6,30.393,-152.501
A6,30.586,-193.689
A6,30.778,-205.865
A6,30.971,-191.437
A6,31.164,-158.047
A6,31.356,-116.984
A6,31.549,-81.856
A6,31.741,-65.999
A6,31.934,-78.435
A6,32.127,-120.271
A6,32.319,-183.894
A6,32.512,-256.342
A6,32.704,-325.22
A6,32.897,-384.174
A6,33.09,-434.8
A6,33.282,-483.833
A6,33.475,-537.753
A6,33.667,-598.669
A6,33.86,-663.829
A6,34.053,-728.266
A6,34.245,-788.131
A6,34.438,-842.638
A6,34.631,-894.303
A6,34.823,-947.263
A6,35.016,-1004.908
A6,35.208,-1068.048
A6,35.401,-1135.137
A6,35.594,-1203.906
A6,35.786,-1272.446
A6,35.979,-1338.296
A6,36.171,-1396.515
A6,36.364,-1439.893
A6,36.557,-1462.385
A6,36.749,-1463.634
A6,36.942,-1451.054
A6,37.135,-1437.502
A6,37.327,-1436.58
A6,37.52,-1458.375
A6,37.712,-1507.702
A6,37.905,-1584.438
A6,38.098,-1685.508
A6,38.29,-1807.481
A6,38.483,-1948.528
A6,38.675,-2108.326
A6,38.868,-2285.775
A6,39.061,-2476.69
A6,39.253,-2673.912
A6,39.446,-2870.892
A6,39.638,-3065.851
A6,39.831,-3263.591
A6,40.024,-3472.833
A6,40.216,-3700.788
A6,40.409,-3948.258
A6,40.602,-4207.759
A6,40.794,-4466.162
A6,40.987,-4710.147
A6,41.179,-4931.747
A6,41.372,-5130.902
A6,41.565,-5314.015
A6,41.757,-5489.942
A6,41.95,-5666.083
A6,42.142,-5845.67
A6,42.335,-6025.293
A6,42.528,-6192.486
A6,42.72,-6325.028
A6,42.913,-6394.662
A6,43.106,-6375.486
A6,43.298,-6253.404
A6,43.491,-6031.091
A6,43.683,-5725.978
A6,43.876,-5363.058
A6,44.069,-4966.784
A6,44.261,-4555.281
A6,44.454,-4137.988
A6,44.646,-3716.284
A6,44.839,-3286.661
A6,45.032,-2844.697
A6,45.224,-2388.18
A6,45.417,-1918.414
A6,45.609,-1440.203
A6,45.802,-961.326
A6,45.995,-491.405
A6,46.187,-40.269
A6,46.38,382.989
A6,46.573,807.815
A6,46.765,1409.747
A6,46.958,1900.908
A6,47.15,2262.329
A6,47.343,2490.848
A6,47.536,2604.743
A6,47.728,2639.075
A6,47.921,2632.691
A6,48.113,2613.854
A6,48.306,2591.842
A6,48.499,2558.221
A6,48.691,2497.034
A6,48.884,2398.815
A6,49.077,2271.347
A6,49.269,2139.429
A6,49.462,2032.525
A6,49.654,1965.806
A6,49.847,1927.318
A6,50.04,1880.715
A6,50.232,1785.01
A6,50.425,1619.407
A6,50.617,1397.375
A6,50.81,1159.976
A6,51.003,953.021
A6,51.195,803.35
A6,51.388,714.012
A6,51.58,681.752
A6,51.773,658.479
A6,51.966,640.182
A6,52.158,629.147
A6,52.351,626.239
A6,52.544,623.374
A6,52.736,601.878
A6,52.929,539.375
A6,53.121,422.156
A6,53.314,256.695
A6,53.507,72.827
A6,53.699,-85.167
A6,53.892,-176.807
A6,54.084,-183.55
A6,54.277,-117.682
A6,54.47,-17.448
A6,54.662,68.751
A6,54.855,101.893
A6,55.048,66.979
A6,55.24,-23.091
A6,55.433,-136.279
A6,55.625,-237.483
A6,55.818,-303.676
A6,56.011,-330.866
A6,56.203,-331.38
A6,56.396,-325.39
A6,56.588,-332.123
A6,56.781,-364.1
A6,56.974,-424.225
A6,57.166,-504.875
A6,57.359,-588.996
A6,57.552,-654.186
A6,57.744,-679.716
A6,57.937,-653.908
A6,58.129,-578.513
A6,58.322,-468.089
A6,58.515,-344.748
A6,58.707,-230.999
A6,58.9,-143.021
A6,59.092,-86.769
A6,59.285,-57.806
A6,59.478,-45.034
A6,59.67,-35.884
A6,59.863,-20.681
A6,60.055,5.335
A6,60.248,41.435
A6,60.441,81.365
A6,60.633,114.568
A6,60.826,130.481
A6,61.019,125.093
A6,61.211,105.776
A6,61.404,89.802
A6,61.596,96.082
A6,61.789,135.035
A6,61.982,203.307
A6,62.174,286.401
A6,62.367,366.341
A6,62.559,429.436
A6,62.752,470.169
A6,62.945,490.917
A6,63.137,499.87
A6,63.33,508.571
A6,63.523,529.528
A6,63.715,573.159
A6,63.908,644.239
A6,64.1,754.997
A6,64.293,947.62
A6,64.486,1134.398
A6,64.678,1286.386
A6,64.871,1381.567
A6,65.063,1408.813
A6,65.256,1369.304
A6,65.449,1275.114
A6,65.641,1145.741
A6,65.834,1002.131
A6,66.026,860.139
A6,66.219,725.845
A6,66.412,649.991
A6,66.604,574.609
A6,66.797,495.48
A6,66.99,418.761
A6,67.182,358.499
A6,67.375,331.699
A6,67.567,350.159
A6,67.76,414.243
A6,67.953,512.04
A6,68.145,624.31
A6,68.338,742.365
A6,68.53,906.923
A6,68.723,1039.417
A6,68.916,1147.242
A6,69.108,1237.273
A6,69.301,1306.162
A6,69.494,1340.428
A6,69.686,1326.415
A6,69.879,1263.577
A6,70.071,1171.124
A6,70.264,1083.718
A6,70.457,1038.379
A6,70.649,1059.426
A6,70.842,1147.718
A6,71.034,1279.077
A6,71.227,1413.978
A6,71.42,1514.869
A6,71.612,1562.942
A6,71.805,1565.18
A6,71.997,1548.276
A6,72.19,1542.821
A6,72.383,1566.931
A6,72.575,1617.14
A6,72.768,1670.696
A6,72.961,1699.028
A6,73.153,1686.547
A6,73.346,1644.547
A6,73.538,1609.87
A6,73.731,1624.641
A6,73.924,1707.981
A6,74.116,1838.038
A6,74.309,1959.434
A6,74.501,2013.025
A6,74.694,1968.964
A6,74.887,1842.46
A6,75.079,1683.993
A6,75.272,1552.694
A6,75.465,1489.296
A6,75.657,1501.987
A6,75.85,1569.557
A6,76.042,1657.077
A6,76.235,1734.176
A6,76.428,1785.895
A6,76.62,1811.835
A6,76.813,1816.996
A6,77.005,1802.422
A6,77.198,1762.578
A6,77.391,1690.133
A6,77.583,1583.115
A6,77.776,1449.638
A6,77.968,1308.395
A6,78.161,1185.436
A6,78.354,1108.416
A6,78.546,1098.666
A6,78.739,1163.522
A6,78.932,1292.182
A6,79.124,1458.974
A6,79.317,1631.889
A6,79.509,1781.958
A6,79.702,1888.655
A6,79.895,1941.583
A6,80.087,1940.408
A6,80.28,1895.16
A6,80.472,1824.589
A6,80.665,1750.544
A6,80.858,1689.111
A6,81.05,1642.865
A6,81.243,1599.951
A6,81.436,1541.794
A6,81.628,1456.29
A6,81.821,1347.765
A6,82.013,1236.527
A6,82.206,1147.536
A6,82.399,1096.164
A6,82.591,1081.4
A6,82.784,1090.768
A6,82.976,1111.438
A6,83.169,1138.096
A6,83.362,1172.407
A6,83.554,1217.009
A6,83.747,1269.917
A6,83.939,1323.92
A6,84.132,1369.771
A6,84.325,1401.089
A6,84.517,1418.076
A6,84.71,1427.861
A6,84.903,1440.209
A6,85.095,1460.437
A6,85.288,1484.302
A6,85.48,1500.244
A6,85.673,1497.559
A6,85.866,1473.846
A6,86.058,1434.859
A6,86.251,1387.588
A6,86.443,1334.073
A6,86.636,1272.598
A6,86.829,1205.425
A6,87.021,1145.016
A6,87.214,1111.308
A6,87.407,1120.51
A6,87.599,1173.594
A6,87.792,1253.769
A6,87.984,1334.927
A6,88.177,1394.692
A6,88.37,1422.599
A6,88.562,1419.596
A6,88.755,1392.162
A6,88.947,1347.604
A6,89.14,1293.29
A6,89.333,1237.141
A6,89.525,1185.089
A6,89.718,1135.97
